emp_no,first_name,last_name,title,dept_no,birth_date
10009,Sumant,Peac,Assistant Engineer,d006,1952-04-19
10020,Mayuko,Warwick,Engineer,d004,1952-12-24
10022,Shahaf,Famili,Engineer,d005,1952-07-08
10047,Zvonko,Nyanchama,Engineer,d004,1952-06-29
10063,Gino,Leonhardt,Senior Engineer,d004,1952-08-06
10066,Kwee,Schusler,Assistant Engineer,d005,1952-11-13
10072,Hironoby,Sidou,Engineer,d005,1952-05-15
10076,Erez,Ritzmann,Senior Engineer,d005,1952-06-13
10097,Remzi,Waschkowski,Senior Staff,d008,1952-02-27
10101,Perla,Heyers,Staff,d007,1952-04-15
10106,Eben,Aingworth,Engineer,d004,1952-08-29
10108,Lunjin,Giveon,Staff,d001,1952-04-07
10127,Subir,Baja,Senior Engineer,d005,1952-02-24
10131,Magdalena,Eldridge,Engineer,d004,1952-02-19
10163,Karsten,Szmurlo,Senior Staff,d003,1952-09-17
10219,Genta,Kolvik,Senior Staff,d005,1952-05-02
10229,Ulises,Takanami,Engineer,d006,1952-02-10
10237,Yannis,Mandell,Senior Staff,d007,1952-09-22
10240,Remko,Maccarone,Engineer,d006,1952-04-01
10286,Saddek,Gopalakrishnan,Staff,d009,1952-05-14
10305,Hirochika,Piancastelli,Engineer,d005,1952-06-30
10340,Djelloul,Laventhal,Senior Staff,d001,1952-08-20
10355,Satyanarayana,Cochrane,Staff,d007,1952-12-10
10356,Vasilis,Standera,Senior Staff,d008,1952-08-12
10372,Anneli,Frijda,Technique Leader,d004,1952-04-08
10387,Parto,Wrigley,Senior Staff,d009,1952-11-03
10395,Takahiro,Deverell,Engineer,d005,1952-02-17
10413,Danel,Impagliazzo,Senior Staff,d003,1952-05-05
10418,Candida,Porotnikoff,Staff,d001,1952-06-29
10429,Martien,Improta,Senior Engineer,d005,1952-02-13
10443,Shichao,Litvinov,Senior Engineer,d005,1952-12-03
10451,Bodh,Ranta,Assistant Engineer,d004,1952-10-06
10477,Guoxiang,Trogemann,Engineer,d005,1952-12-07
10486,Amstein,Kossowski,Engineer,d006,1952-08-24
10503,Dannz,Pell,Engineer,d004,1952-05-17
10529,Ymte,Yetto,Assistant Engineer,d004,1952-11-21
10548,Ramalingam,Gunderson,Senior Staff,d001,1952-06-12
10591,Hidde,Hettesheimer,Staff,d001,1952-12-22
10593,Falguni,Kenevan,Engineer,d004,1952-07-24
10683,Guiseppe,Stranks,Senior Engineer,d004,1952-06-18
10696,Unal,Fendler,Technique Leader,d005,1952-03-23
10702,Bader,Szemeredi,Senior Engineer,d005,1952-11-25
10712,Uma,Koprowski,Engineer,d005,1952-04-12
10731,Fumitaka,Peak,Senior Staff,d002,1952-11-17
10751,Jordanka,Ushiama,Engineer,d005,1952-12-02
10782,Kish,Perna,Staff,d008,1952-09-18
10803,Katsuyuki,Velasco,Engineer,d006,1952-09-15
10814,Nidapan,Dymetman,Senior Staff,d007,1952-09-17
10826,Arnd,Anandan,Senior Engineer,d005,1952-12-06
10835,Tomoyuki,Kermarrec,Engineer,d004,1952-11-23
10846,Tokuyasu,Serre,Senior Engineer,d005,1952-06-27
10847,Theirry,Danley,Senior Staff,d008,1952-03-04
10858,Kenroku,Gonthier,Engineer,d005,1952-10-01
10867,Billur,Gyorkos,Engineer,d004,1952-10-01
10871,Aram,Gilg,Staff,d009,1952-10-24
10872,Karoline,Speel,Senior Staff,d002,1952-02-21
10873,Sukumar,Wegerle,Staff,d002,1952-07-09
10878,Lakshmi,Deville,Staff,d007,1952-06-13
10883,Shimshon,Champarnaud,Engineer,d004,1952-07-30
10895,Vishwani,Petersohn,Staff,d007,1952-03-21
10906,Munehiro,Carrere,Staff,d002,1952-02-06
10912,Oscal,Fasbender,Senior Staff,d002,1952-07-27
10913,Narain,Thummel,Staff,d002,1952-09-03
10942,Toshimitsu,Larfeldt,Engineer,d005,1952-08-08
10944,Remko,Zyda,Senior Engineer,d004,1952-05-25
10948,Shigehito,Brodie,Senior Engineer,d005,1952-12-23
10974,Muneo,Papsdorf,Senior Engineer,d005,1952-03-07
10985,Chiradeep,Furedi,Engineer,d005,1952-05-31
10987,Flemming,Baezner,Engineer,d005,1952-11-26
11002,Bluma,Ulupinar,Senior Staff,d007,1952-02-26
11028,Miyeon,Krider,Engineer,d004,1952-02-23
11037,Lansing,Maliniak,Engineer,d004,1952-05-22
11048,Jaques,Demke,Senior Staff,d007,1952-10-26
11050,Elvis,Katiyar,Senior Staff,d001,1952-09-23
11051,Przemyslawa,Erol,Engineer,d004,1952-10-06
11064,Shawna,Vieri,Assistant Engineer,d004,1952-08-10
11070,Adib,Raney,Engineer,d006,1952-06-30
11079,Piyush,Garigliano,Engineer,d005,1952-09-18
11081,Barry,Boyle,Senior Staff,d002,1952-06-20
